电影名,导演,主演,年份,电影类型,评分,评语,电影海报
钢琴家,罗曼·波兰斯基 Roman Polanski   ,艾德里安·布洛迪 Adrien Brod...,2002,剧情 传记 战争 音乐,9.2,音乐能化解仇恨。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792376093.webp
大闹天宫,万籁鸣 Laiming Wan   ,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961, 1978(中国大陆) ,9.4,经典之作，历久弥新。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.webp
让子弹飞,姜文 Wen Jiang   ,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,2010,剧情 喜剧 动作 西部,8.9,你给我翻译翻译，神马叫做TMD的惊喜。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.webp
狮子王,Roger Allers / 罗伯·明可夫 Rob Minkoff   ,乔纳森·泰勒·托马...,1994,动画 冒险 歌舞,9.1,动物版《哈姆雷特》。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.webp
教父2,弗朗西斯·福特·科波拉 Francis Ford Coppola   ,阿尔·帕西诺 A...,1974,剧情 犯罪,9.2,优雅的孤独。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.webp
死亡诗社,彼得·威尔 Peter Weir   ,罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,剧情,9.1,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.webp
搏击俱乐部,大卫·芬奇 David Fincher   ,爱德华·诺顿 Edward Norton / 布拉...,1999,剧情 动作 悬疑 惊悚,9.0,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.webp
黑客帝国,安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,,1999,动作 科幻,9.1,视觉革命。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p451926968.webp
海蒂和爷爷,阿兰·葛斯彭纳 Alain Gsponer   ,阿努克·斯特芬 Anuk Steffen /...,2015,剧情 冒险 家庭,9.2,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.webp
绿皮书,彼得·法雷里 Peter Farrelly   ,维果·莫腾森 Viggo Mortensen /...,2018,剧情 喜剧 传记 音乐,8.9,去除成见，需要勇气。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.webp
