电影名,导演,主演,年份,电影类型,评分,评语,电影海报
无间道2,刘伟强 / 麦兆辉   ,陈冠希 / 余文乐 / 曾志伟,2003,剧情 犯罪 惊悚,8.6,,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p958008320.webp
东京教父,今敏 Satoshi Kon   ,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,2003,剧情 喜剧 动画,9.0,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p456703618.webp
无耻混蛋,Quentin Tarantino   ,布拉德·皮特 Brad Pitt / 梅拉尼·罗兰 M...,2009,剧情 犯罪,8.6,昆汀同学越来越变态了，比北野武还杜琪峰。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2575043939.webp
步履不停,是枝裕和 Hirokazu Koreeda   ,阿部宽 Hiroshi Abe / 夏川结衣 Yu...,2008,剧情 家庭,8.8,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2375245718.webp
血钻,爱德华·兹威克 Edward Zwick   ,莱昂纳多·迪卡普里奥 Leonardo ...,2006,剧情 惊悚 冒险,8.7,每个美丽事物背后都是滴血的现实。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1244017073.webp
燃情岁月,爱德华·兹威克 Edward Zwick   ,布拉德·皮特 Brad Pitt / 安东...,1994,剧情 爱情 战争 西部,8.8,传奇，不是每个人都可以拥有。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1023654037.webp
彗星来的那一夜,詹姆斯·沃德·布柯特 James Ward Byrkit   ,艾米丽·芭尔多尼 Em...,2013,科幻 悬疑 惊悚,8.5,小成本大魅力。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187896734.webp
战争之王,安德鲁·尼科尔 Andrew Niccol   ,尼古拉斯·凯奇 Nicolas Cage /...,2005,剧情 犯罪,8.7,做一颗让别人需要你的棋子。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p792282381.webp
海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud   主演:...,,2009,纪录片,9.1,大海啊，不全是水。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559581324.webp
谍影重重2,保罗·格林格拉斯 Paul Greengrass   ,马特·达蒙 Matt Damon / ...,2004,动作 悬疑 惊悚,8.7,谁说王家卫镜头很晃？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p667644866.webp
千钧一发,安德鲁·尼科尔 Andrew Niccol   ,伊桑·霍克 Ethan Hawke / 乌玛...,1997,剧情 科幻 惊悚,8.8,一部能引人思考的科幻励志片。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195672555.webp
穿越时空的少女,细田守 Mamoru Hosoda   ,仲里依纱 Riisa Naka / 石田卓也 Takuya...,2006,剧情 爱情 科幻 动画,8.6,爱上未来的你。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2079334286.webp
阿飞正传,王家卫 Kar Wai Wong   ,张国荣 Leslie Cheung / 张曼玉 Maggie C...,1990,犯罪 剧情 爱情,8.5,王家卫是一种风格，张国荣是一个代表。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2525770523.webp
黑客帝国2：重装上阵,拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...,,2003,动作 科幻,8.6,一个精彩的世界观正在缓缓建立。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p443461390.webp
崖上的波妞,宫崎骏 Hayao Miyazaki   ,奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,动画 奇幻 冒险,8.6,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2627847859.webp
地球上的星星,阿米尔·汗 Aamir Khan   ,达席尔·萨法瑞 Darsheel Safary / 阿...,2007,剧情 儿童 家庭,8.9,天使保护事件始末。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1973489335.webp
谍影重重,道格·里曼 Doug Liman   ,马特·达蒙 Matt Damon / 弗兰卡·波坦...,2002,动作 悬疑 惊悚,8.6,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1597183981.webp
完美陌生人,保罗·格诺维瑟 Paolo Genovese   ,马可·贾利尼 Marco Giallini ...,2016,剧情 喜剧,8.5,来啊，互相伤害啊！,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2522331945.webp
茶馆,谢添 Tian Xie   ,于是之 Shizhi Yu / 郑榕 Rong Zhen / 蓝天野 T...,1982,剧情 历史,9.5,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2528965424.webp
香水,汤姆·提克威 Tom Tykwer   ,本·卫肖 Ben Whishaw / 艾伦·瑞克...,2006,剧情 犯罪 奇幻,8.5,一个单凭体香达到高潮的男人。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2441127736.webp
再次出发之纽约遇见你,约翰·卡尼 John Carney   ,凯拉·奈特莉 Keira Knightley / 马克...,2013,喜剧 爱情 音乐,8.6,爱我就给我看你的播放列表。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2250287733.webp
我爱你,秋昌民 Chang-min Choo   ,宋在河 Jae-ho Song / 李顺载 Soon-jae...,2011,剧情 爱情,9.1,你要相信，这世上真的有爱存在，不管在什么年纪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1075591188.webp
朗读者,史蒂芬·戴德利 Stephen Daldry   ,凯特·温丝莱特 Kate Winslet ...,2008,剧情 爱情,8.6,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1140984198.webp
背靠背，脸对脸,黄建新 Jianxin Huang / 杨亚洲 Yazhou Yang   ,牛振华 Zhenhua N...,1994,剧情,9.5,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2505048077.webp
爱乐之城,达米恩·查泽雷 Damien Chazelle   ,瑞恩·高斯林 Ryan Gosling /...,2016,剧情 爱情 歌舞,8.4,,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2395517414.webp
聚焦,托马斯·麦卡锡 Thomas McCarthy   ,马克·鲁弗洛 Mark Ruffalo /...,2015,剧情 传记,8.8,新闻人的理性求真。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2263822658.webp
驴得水,周申 Shen Zhou / 刘露 Lu Liu   ,任素汐 Suxi Ren / 大力 Da Li ...,2016,剧情 喜剧,8.3,过去的如果就让它过去了，未来只会越来越糟！,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.webp
浪潮,丹尼斯·甘塞尔 Dennis Gansel   ,尤尔根·沃格尔 Jürgen Vogel ...,2008,剧情 惊悚,8.7,世界离独裁只有五天。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1344888983.webp
猜火车,丹尼·博伊尔 Danny Boyle   ,伊万·麦克格雷格 Ewan McGregor / ...,1996,剧情 犯罪,8.5,不可猜的青春迷笛。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p513567548.webp
小萝莉的猴神大叔,卡比尔·汗 Kabir Khan   ,萨尔曼·汗 Salman Khan / 哈莎莉·马...,2015,剧情 喜剧 动作,8.4,宝莱坞的萝莉与大叔。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510956726.webp
火星救援,雷德利·斯科特 Ridley Scott   ,马特·达蒙 Matt Damon / 杰西卡...,2015,剧情 科幻 冒险,8.5,,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2280097442.webp
追随,克里斯托弗·诺兰 Christopher Nolan   ,杰里米·西奥伯德 Jeremy...,1998,犯罪 悬疑 惊悚,8.9,诺兰的牛逼来源于内心散发出的恐惧。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561545031.webp
